,Unnamed: 0.1,Unnamed: 0,Номер образца,Направление образца,Температура (°C),Нагрузка (MPa),Начало,Конец,de_dt,"A, 1 / [ сут * кг/см^2 ]",n
0,0,0,38-1217-02,11,950,315.0,20,85,0.0095828452647127,0.01998212249394518,3.3872715399752935
1,1,1,38-1219-02,11,950,255.0,180,800,0.0005361940356095,0.004726670937393031,3.918453372582735
2,2,2,38-1223-02,11,1050,215.0,58,160,0.0042364037485222,0.013285963377004007,2.8111370058797736
3,3,3,38-1228-02,11,1050,185.0,60,480,0.0006405677344347,0.005166267730974901,3.120544307326772
4,4,4,38-1231-02,11,1050,165.0,385,910,0.0001711099958419,0.0026701279295343106,3.2887094283329885
5,5,5,38-1234-02,11,1150,98.0,37,150,0.0006688260100104,0.005278991420441988,2.257640675425742
6,6,6,38-1237-02,11,1150,83.0,20,300,0.0003996422733579,0.004080656980182545,2.2104001164306957
7,7,7,38-1244-02,11,1150,69.0,100,900,0.0001076664988696,0.0021180425207173443,2.302943832829866
8,8,8,38-1482-03,111,850,540.0,150,720,0.0038057269691848,0.012592535767245882,7.0995609282580565
9,9,9,38-1485-03,111,950,380.0,50,140,0.015756480110794,0.025622646323446328,3.7870392617905355
10,10,10,38-1486-03,111,950,400.0,20,90,0.0227493572842148,0.030787820430200712,3.7986154248974624
