,Unnamed: 0,Номер образца,Направление образца,Температура (°C),Нагрузка (MPa),Начало,Конец,de_dt
0,0,38-1217-02,11,950,315.0,20,85,0.009582845264712706
1,1,38-1219-02,11,950,255.0,180,800,0.0005361940356095633
2,2,38-1223-02,11,1050,215.0,58,160,0.004236403748522211
3,3,38-1228-02,11,1050,185.0,60,480,0.0006405677344347981
4,4,38-1231-02,11,1050,165.0,385,910,0.00017110999584197997
5,5,38-1234-02,11,1150,98.0,37,150,0.0006688260100104548
6,6,38-1237-02,11,1150,83.0,20,300,0.00039964227335793933
7,7,38-1244-02,11,1150,69.0,100,900,0.00010766649886965874
8,8,38-1482-03,111,850,540.0,150,720,0.003805726969184857
9,9,38-1485-03,111,950,380.0,50,140,0.015756480110794054
10,10,38-1486-03,111,950,400.0,20,90,0.02274935728421488
