Material,Second Derivative
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,
38-0669-03,-176.47058823529412
38-0669-03,0.8862629246676513
38-0669-03,0.0
38-0669-03,0.1488316713796696
38-0669-03,-0.09930815319937768
38-0669-03,0.07451379747149847
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,-4.3124791202386715e-17
38-0669-03,3.980884446397067e-17
38-0669-03,-0.021309693779700406
38-0669-03,0.019889414853414993
38-0669-03,-0.01864674365699935
38-0669-03,0.0
38-0669-03,0.016575501408917635
38-0669-03,-2.7240975429122506e-17
38-0669-03,2.5879292410168485e-17
38-0669-03,-2.4647260321911953e-17
38-0669-03,0.0
38-0669-03,-0.012972019354252887
38-0669-03,0.0
38-0669-03,0.012249247692037592
